Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Population,Population (1000),Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Region
Liberia,7.83,0.2,0,122.29,1.21,5.88,40.6,18.27,1.17,1.75,3.15,4702230,4702.23,0.74,0.01,116.34,0.1,8.51,8.94,0.59,14.82,24.03,Africa
Lithuania,118.84,11.4,0.02,138.81,15.01,33.09,51.48,81.27,350.67,2.79,1.86,2845410,2845.41,9.41,1.17,48.82,4.64,96.54,NA,1.18,10.56,94.45,Europe
Luxembourg,159.98,10.77,0.1,101.63,15.58,32.15,88.72,80.07,148.25,2.05,3.28,591910,591.91,0.79,1.16,43.66,25.37,160.5,0,0.61,11.14,96.03,Europe
Madagascar,6.73,0.35,0.02,168.5,0.65,5.29,42.8,12.34,21.13,1.69,1.56,25570510,25570.51,3.13,0.41,122.13,1.76,9.22,4.94,0.22,2.63,15.93,Africa
Malawi,16.12,1.11,0,144.75,1.13,9.5,115.48,20.34,3.44,2.31,7.41,17670200,17670.2,16.14,0.19,276.56,0.53,8.74,0,0.22,2.78,54.23,Africa
Malaysia,9.64,0.95,0.22,186.48,17.88,57.62,44.94,52.89,5.71,0.85,6.25,31104650,31104.65,2.82,4.85,17.85,1.09,42.05,0,0.9,17.6,66.45,Asia
Maldives,7.05,0.03,0.07,118.6,11.74,90.41,62.47,20.61,23.8,0.02,2.14,496400,496.4,0.83,3.53,16.86,4.07,30.62,1.03,7.78,1.87,79.33,Asia
Mali,35.79,0.55,0,245.87,0.71,9.34,48.28,23.68,88.17,3.4,6.08,18512430,18512.43,9.85,0.79,33.15,0.76,10.91,NA,2.94,6.37,90.32,Africa
Malta,69.51,3.67,0.03,140.61,11.95,31.9,82.43,82.05,111.33,1.33,5.16,437930,437.93,3.91,0.59,36.65,3.74,92.85,NA,2.2,8.65,200.88,Europe
Mauritania,0.05,1.03,0,187.19,2.32,9.16,11.87,31.06,89.77,3.91,0.73,4282570,4282.57,10.05,0.06,9.29,3.36,39.44,NA,0,14.36,36.35,Africa
Mauritius,33.36,0.08,0.11,186.11,6.4,23.07,38.64,50.89,18.59,1.27,4.85,1264500,1264.5,9.27,2,19.87,1.76,38.64,NA,0.4,22.19,72.69,Africa
Mexico,65.68,2.49,0.3,170.25,19.31,14.38,114.36,64.87,119.01,5.29,2.9,124777320,124777.32,10.53,1.67,17.34,0.37,48.05,0,1.67,10.21,75.52,North America
Mongolia,34.32,4.2,0,110.74,4.07,0.48,11.37,88.37,173.14,12.46,0.29,3113790,3113.79,0.4,0.04,28.56,1.53,16.03,NA,0.15,6.06,47.31,Asia
Montenegro,48.2,4.49,0.03,109.59,12.04,14.06,124.47,73,389.91,2.46,1.88,627560,627.56,4.59,0.38,25.97,5.66,131.25,NA,2.06,9.25,108.62,Europe
Morocco,4.02,2.03,0,261.96,6.79,19.47,101,35.12,52.58,2.73,2.65,35581250,35581.25,4.63,1.66,48.12,2.86,37.56,NA,3.57,11.44,102.05,Africa
Mozambique,12.31,0.3,0,133.15,1.95,11.46,28.58,9.39,16.54,0.86,1.27,28649020,28649.02,12.93,0.04,224.97,1.06,10.75,0,2.03,7.58,28,Africa
Myanmar,2.57,2.05,0.04,196.2,5.4,47.32,47.16,58.24,42.5,2.69,12.88,53382520,53382.52,14.99,2.54,16.99,2.69,33.47,NA,3.41,7.4,82.79,Asia
Namibia,62.23,1.29,0.06,112.81,1.36,11.56,35.56,30.53,61.96,2.51,0.93,2402630,2402.63,8.3,1.44,145.84,1.01,45.32,0.01,0.13,10.84,26.87,Africa
Nepal,4.58,0.43,0,250.52,1.98,2.83,65.48,13.55,54.12,2.12,0.82,27632680,27632.68,12.57,5.79,83.53,0.44,7.55,42.34,1.35,11.33,128.04,Asia
Netherlands,82.99,6.32,0.21,93.92,14.12,21.77,93.06,75.81,340.35,0.75,2.1,17021350,17021.35,1.61,1.21,80.6,5.49,44.32,NA,3,16.04,61.6,Europe
New Caledonia,58.87,0.96,0.94,100.34,8.76,23.8,65.29,68.6,32.35,2.33,26.84,277150,277.15,1.49,0.57,29.98,2.04,37.29,NA,0.44,15.38,65.39,Oceania
New Zealand,77,10.98,0.25,114.31,10.42,24.73,59.28,100.89,110.04,1.88,4.86,4702030,4702.03,3.56,0.73,49.72,3.5,56.31,0.16,2.21,7.91,98.63,Oceania
Nicaragua,17.07,0.83,0.03,166.84,5.45,6.51,38.1,30.82,84.91,2.04,3.33,6384850,6384.85,13.52,0.06,18.98,0.05,56.61,NA,0.03,9.16,35.55,North America
